entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-08-05 02:22:00;2026-08-05 02:26:00;FINISHED_AUCTION;SHORT;FORT;58.4;TARGET1;1.000
2026-08-05 05:08:00;2026-08-05 05:16:00;FINISHED_AUCTION;LONG;FORT;58.7;TARGET1;1.106
2026-08-05 05:26:00;2026-08-05 05:28:00;FINISHED_AUCTION;LONG;FORT;63.8;STOP;-1.000
2026-08-05 05:36:00;2026-08-05 05:38:00;FINISHED_AUCTION;LONG;TRESFORT;68.2;TARGET2;2.889
2026-08-05 05:38:00;2026-08-05 05:40:00;FINISHED_AUCTION;LONG;TRESFORT;70.5;STOP;-1.000
2026-08-05 05:40:00;2026-08-05 05:42:00;FINISHED_AUCTION;LONG;TRESFORT;69.4;TARGET1;1.696
2026-08-05 08:56:00;2026-08-05 08:58:00;STACKED_IMB_RETEST;LONG;FORT;63.9;STOP;-1.000
2026-08-05 13:24:00;2026-08-05 13:56:00;CUM_DELTA_DIV;LONG;FORT;65.2;TARGET1;1.000
2026-08-05 19:08:00;2026-08-05 19:24:00;DELTA_FLIP;LONG;TRESFORT;70.4;TARGET1;2.022
2026-08-06 08:36:00;2026-08-06 08:38:00;DELTA_FLIP;LONG;TRESFORT;69.2;STOP;-1.000
2026-08-07 02:52:00;2026-08-07 03:02:00;FINISHED_AUCTION;LONG;FORT;51.1;STOP;-1.000
2026-08-07 04:40:00;2026-08-07 04:44:00;CUM_DELTA_DIV;LONG;FORT;61.9;TARGET1;1.608
2026-08-07 04:44:00;2026-08-07 05:00:00;CUM_DELTA_DIV;LONG;FORT;58.9;TARGET1;1.719
2026-08-07 07:24:00;2026-08-07 07:28:00;DELTA_FLIP;LONG;FORT;63.9;STOP;-1.000
2026-08-07 09:00:00;2026-08-07 09:06:00;DELTA_FLIP;LONG;TRESFORT;71.8;TARGET1;1.320
2026-08-10 04:28:00;2026-08-10 04:30:00;CUM_DELTA_DIV;SHORT;TRESFORT;70.4;TARGET1;1.660
2026-08-10 04:26:00;2026-08-10 04:30:00;CUM_DELTA_DIV;SHORT;TRESFORT;71.4;TARGET1;1.656
2026-08-10 04:30:00;2026-08-10 04:36:00;CUM_DELTA_DIV;SHORT;TRESFORT;73.7;STOP;-1.000
2026-08-10 07:14:00;2026-08-10 07:22:00;DELTA_FLIP;LONG;FORT;54.6;TARGET2;2.000
2026-08-10 12:14:00;2026-08-10 12:20:00;FINISHED_AUCTION;LONG;FORT;59.0;STOP;-1.000
2026-08-11 04:12:00;2026-08-11 04:14:00;FINISHED_AUCTION;LONG;FORT;54.8;STOP;-1.000
2026-08-11 22:26:00;2026-08-11 22:32:00;DELTA_FLIP;LONG;FORT;64.4;TARGET1;1.050
2026-08-12 01:52:00;2026-08-12 01:56:00;FINISHED_AUCTION;SHORT;FORT;62.9;STOP;-1.000
2026-08-13 07:02:00;2026-08-13 07:04:00;FINISHED_AUCTION;SHORT;FORT;63.0;STOP;-1.000
2026-08-13 07:04:00;2026-08-13 07:12:00;FINISHED_AUCTION;SHORT;FORT;55.7;TARGET1;1.072
2026-08-13 07:12:00;2026-08-13 07:26:00;DELTA_FLIP;SHORT;FORT;64.8;STOP;-1.000
2026-08-14 01:50:00;2026-08-14 02:04:00;FINISHED_AUCTION;SHORT;FORT;63.5;TARGET1;1.167
2026-08-14 03:40:00;2026-08-14 03:44:00;DELTA_FLIP;SHORT;TRESFORT;69.8;STOP;-1.000
2026-08-14 13:08:00;2026-08-14 13:16:00;CUM_DELTA_DIV;SHORT;FORT;51.3;TARGET1;1.000
2026-08-17 03:18:00;2026-08-17 03:30:00;FINISHED_AUCTION;LONG;FORT;54.7;TARGET1;1.385
2026-08-18 02:04:00;2026-08-18 02:08:00;FINISHED_AUCTION;LONG;FORT;52.1;TARGET1;1.000
2026-08-18 05:36:00;2026-08-18 05:50:00;NPOC_ABSORPTION_REVERSAL;LONG;FORT;51.9;STOP;-1.000
2026-08-18 13:42:00;2026-08-18 14:06:00;CUM_DELTA_DIV;SHORT;TRESFORT;69.3;TARGET1;1.000
2026-08-18 17:02:00;2026-08-18 17:04:00;DELTA_FLIP;SHORT;FORT;54.3;STOP;-1.000
2026-08-18 21:42:00;2026-08-18 22:50:00;FINISHED_AUCTION;SHORT;FORT;58.2;TARGET1;3.033
2026-08-18 22:58:00;2026-08-18 23:00:00;FINISHED_AUCTION;SHORT;TRESFORT;67.2;STOP;-1.000
2026-08-19 02:34:00;2026-08-19 02:36:00;FINISHED_AUCTION;SHORT;TRESFORT;67.0;STOP;-1.000
2026-08-19 03:04:00;2026-08-19 03:06:00;FINISHED_AUCTION;LONG;FORT;54.5;STOP;-1.000
