entry_time;exit_time;setup;side;grade;score;outcome;r_multiple
2026-04-23 05:14:00;2026-04-23 05:22:00;FINISHED_AUCTION;SHORT;FORT;62.1;STOP;-1.000
2026-04-23 16:08:00;2026-04-23 16:18:00;CUM_DELTA_DIV;SHORT;FORT;58.7;STOP;-1.000
2026-04-27 06:02:00;2026-04-27 06:12:00;FINISHED_AUCTION;LONG;TRESFORT;68.4;STOP;-1.000
2026-04-28 12:48:00;2026-04-28 12:50:00;STACKED_IMB_RETEST;SHORT;FORT;54.4;STOP;-1.000
2026-04-29 19:04:00;2026-04-29 19:08:00;FINISHED_AUCTION;LONG;FORT;53.2;STOP;-1.000
2026-04-29 19:22:00;2026-04-29 19:24:00;CUM_DELTA_DIV;SHORT;FORT;54.1;STOP;-1.000
2026-04-29 19:16:00;2026-04-29 19:24:00;CUM_DELTA_DIV;SHORT;FORT;55.4;STOP;-1.000
2026-04-29 19:12:00;2026-04-29 19:26:00;CUM_DELTA_DIV;SHORT;FORT;59.3;STOP;-1.000
2026-04-29 19:30:00;2026-04-29 19:34:00;CUM_DELTA_DIV;SHORT;FORT;52.5;TARGET1;1.698
2026-04-29 19:32:00;2026-04-29 19:36:00;CUM_DELTA_DIV;SHORT;FORT;54.8;TARGET1;1.713
